clasificación,coordenada_x,coordenada_y,demanda
2,-100.44078601256824,25.957371101184897,8
2,-100.46867882251306,25.956999976769175,33
2,-100.46135700728992,25.991726020912257,2
2,-100.3089669563116,25.965153344911844,9
2,-100.29509306074671,25.961486986627534,29
2,-100.29134456666748,25.970797085685504,9
2,-100.28222010038449,25.971907754625807,10
2,-100.31705425698132,25.951890229390607,2
2,-100.32196052139207,25.961069741937404,5
2,-100.39891457080289,25.946344071334593,1
2,-100.39186806399218,25.94312259268693,1
2,-100.35316029844165,25.924766058033043,70
2,-100.36130430994662,25.9284230080248,14
2,-100.35688995140146,25.938503832706107,2
2,-100.35048577867921,25.944956587323503,9
2,-100.36906288649303,25.936059271699094,3
2,-100.36385286116254,25.94438975918894,25
2,-100.33879798853233,25.94469942109993,4
2,-100.53900307418539,25.817190868483294,7
2,-100.54307244790508,25.80953293070102,3
2,-100.60133669959146,25.822279781383468,4
2,-100.59207856371926,25.826666728761968,5
2,-100.59202088176269,25.796820212580798,211
2,-100.59873514697315,25.786760649259357,1
2,-100.59071570412668,25.810092992895232,2
2,-100.43091061964182,25.669761769770325,4
2,-100.42907119913697,25.662166320118605,3
2,-100.4397278861135,25.69083037609488,294
2,-100.40189252685829,25.67857186521083,14
2,-100.50588537239636,25.70277579111457,12
2,-100.51018798772526,25.71241141777357,3
2,-100.49535380913122,25.692527791963528,4
2,-100.460629546974,25.66791339499356,132
2,-100.48432882891096,25.680691464018626,58
2,-100.49114419426924,25.70202882506231,5
2,-100.40862532421036,25.660853423125506,2
2,-100.16440660343825,25.9496006925001,7
2,-100.16818733386742,25.9659985321951,12
2,-100.16128883970558,25.97935385365638,1
2,-100.15615818617263,25.98576234892775,1
2,-100.15238150738593,25.96077032390585,3
2,-100.1448458775658,25.984455455907145,6
2,-100.19713020991375,25.905968140859684,40
2,-100.18378755661575,25.939966740679022,2
2,-100.19238976956773,25.940765378871866,2
2,-100.20138231935705,25.948130955049045,4
2,-100.18606005239502,25.91732234881969,24
2,-100.18765018258503,25.92753996366036,2
2,-100.16479858001821,25.914403317864114,28
2,-100.16479996208535,25.900079509419196,29
2,-100.17227928898518,25.890668974269115,4
2,-100.11837341141806,25.824231394839497,3
2,-100.13854853100291,25.85301017194624,14
2,-100.13074876307904,25.882127243927503,12
2,-100.12174263305592,25.876279554977952,17
2,-100.10839490140577,25.885737050762224,12
2,-100.10520079612647,25.892728848924467,1
2,-100.1112649910097,25.8988723205464,3
2,-100.11629356177828,25.892062232603184,2
2,-100.31521741228569,25.874635648583002,10
2,-100.31152506792654,25.864187718536595,87
2,-100.31548062656847,25.853767915997498,42
2,-100.30472313510013,25.855266908554373,63
2,-100.29554290642504,25.863667764204987,5
2,-100.25065289916874,25.9130867961214,8
2,-100.24152651567722,25.9148807306123,49
2,-100.27595866961194,25.909732217652273,24
2,-100.27822804931982,25.902506060694314,20
2,-100.26573750439438,25.91472381355165,20
2,-100.26615969075179,25.89084080864829,18
2,-100.25840230098905,25.87863589813444,28
2,-100.26702197170086,25.873596212780303,14
2,-100.27189531282137,25.864631681693226,15
2,-100.40126864690154,25.84742582098447,4
2,-100.38532975274373,25.85429338364662,104
2,-100.36887693624173,25.840051299162997,3
2,-100.37195450332263,25.85598870262328,19
2,-100.36070303979108,25.849859495379782,1
2,-100.0792041429046,25.60248954253096,3
2,-100.06944482378293,25.608567220975093,1
2,-100.49146704511736,25.780977717602443,26
2,-100.49052707953479,25.793382534294853,23
2,-100.48584781794614,25.803922178818187,2
2,-100.46334391365758,25.794242253691046,41
2,-100.47140968692815,25.787638148242138,6
2,-100.4685528808143,25.778999906894903,1
2,-100.23643350596119,25.72895277248593,1
2,-100.2354086552858,25.721677358943577,2
